ML_PN	LR_ID	MW_ID	TI P/N	ALIASES
BATT2032			TIK-BAT-CR2032	TIK-BAT-2032B,
BMST0038	ULK037	BMW-1452	180982.0	BMST1452_180983, 6986583-04, 66120397727, 66126986579, 66129268486, 926886-02, BMW-1452 RC, BMST1452,
CHFA0345	ULK345			CHFA0345_ULK345_BULK, ULK345OHT1130261, 68384452AA, 68384452AB, 68384452AC, 68416782AA, 68416782AB, 68416782AC, 68292942AA, CHRY-1646, OEM-CHRY-1646, ULK345OHT1130261(3),
CHFR0344	ULK344	CHRY-1644	ULK344OHT1130261(4)	CHFR0344_ULK344, 68416784AD, 68416784AB, CHFR0344_171082, 68416784AC, 68384454AC, TIK-JEP-51R, TIK-JEP-51N, 171082,
CHFX4510	ULK4510	PROMASTER-6	170958.0	68458497AA
CHFX4510	ULK4510	PROMASTER-6	ULK4510RX2TRF198(3)	CHFX4510_ULK4510
CHFY0404	ULK404	CHRY-1671	TIK-JEP-63R	68416785AC, CHFY0404_171058, TIK-JEP-63N,
CHPR3812	ULK3812	CHRY-1702		249591, 68523812AA, ULK3812OHT4882056(4),
CHHA0006	ULK006		182180.0	04589517AB, ULK006DOHT692427AA(3), 5179513AC, 182180, ULK006OHT692427AA(3)NL, ULK006JOHT692427AA(3)J,
CHHA0013	ULK013	OHT3-1886	170980.0	04589517AB, TIK-JEP-12, TIK-JEP-12R, TIK-JEP-12N, OHT3-1886 RC, OHT3-1850 RC,
CHHJ0007	ULK007	OHT4-1883	ULK007DOHT692427AA(4)	8273329ABR, 8273329AB, CHHJ0007_ULK007, OHT4-1883 RC, TIK-JEP-10R, TIK-JEP-10N, 68029833AA, 171012, 68029833AA,
CHTK0164	Y164PT	Y164-PT	104600.0	ILCO-Y164PT, 10036448226525, CHKZ0164,
CHPA0021	MOP021	CHRY-1600	181005.0	68066349AI, CHPA0021_181005
CHPA0021	MOP021	CHRY-1600	TIK-DOG-37	TIK-DOG-37N, TIK-DOG-37R
CHPA0097	ULK097		ULK097GQ4-54T(3)	68288425AD
CHPA0318	ULK318	CHRY-1637	181037.0	68250335AB, 68417820AB
CHPA0318	ULK318	CHRY-1637	TIK-JEP-50	TIK-JEP-50R, TIK-JEP-50N
CHPA7529	ULK7529	CHRY-1686	171071.0	ULK7529M3NWXFOB1, 68377529AB, ULK7529M3NWXFOB1(3), 68582686AB, CHPA7529_ULK7529,
CHPD0194	ULK194	CHRY-1628	181030.0	68217832AD,CHPD0194_181030
CHPD0194	ULK194	CHRY-1628	TIK-CHR-63	TIK-CHR-63N, TIK-CHR-63R
CHPH0238	ULK238	CHRY-1642	181039.0	CHPH0238_181039, 68417823AB,
CHPH0238	ULK238	CHRY-1642	TIK-JEP-47	TIK-JEP-47R, TIK-JEP-47N,
CHPH0238	ULK238	CHRY-1642	ULK238M3N40821302(5)	CHPH0238_ULK238
CHPJ7653	ULK7653	CHRY-1708	199594.0	7FF24LXHAB
CHPJ7653	ULK7653	CHRY-1708	TIK-DOG-112	TIK-DOG-112N, TIK-DOG-112R,
