vin,year,make,model,trim,bodyClass,engine,driveType,plantCity,plantCountry,decodeErrorCode,decodeErrorText,sourceCount,firstSeen,lastSeen,firstJobTitle,latestJobTitle,latestProgrammerHint,latestPriceHint,latestPaymentHint,keySystemStatus,keyOptions,programmerOptions,originationTools,verifyBeforeDispatch,notes
19XFC2F5XJE020510,2018,HONDA,Civic,LX,Sedan/Saloon,2.0L In-Line,4x2,GREENBURG,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-05T13:15:00.000Z,2023-06-05T13:15:00.000Z,DK 3 veh.'s [cmx],DK 3 veh.'s [cmx],,179.4,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
19XFC2F60LE018227,2020,HONDA,Civic,LX,Sedan/Saloon,2.0L In-Line,4x2,GREENSBURG,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-17T13:30:00.000Z,2023-07-17T13:30:00.000Z,DK 10 veh.'s [cmx],DK 10 veh.'s [cmx],,308.2,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
19XFC2F85GE044586,2016,HONDA,Civic,EX,Sedan/Saloon,2.0L In-Line,,GREENBURG,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-28T12:50:00.000Z,2023-07-28T12:50:00.000Z,DK 8 veh.'s [cmx],DK 8 veh.'s [cmx],,349.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
19XFL1H84PE011666,2023,HONDA,Civic,Sport Touring,Hatchback/Liftback/Notchback,1.5L In-Line,4x2,GREENSBURG,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-12-08T15:30:00.000Z,2023-12-08T15:30:00.000Z,"KM, DK 2 veh.'s [cmx]","KM, DK 2 veh.'s [cmx]",,343.8,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C3CDZAB5CN157749,2012,DODGE,Avenger,SE,Sedan/Saloon,2.4,FWD/Front-Wheel Drive,STERLING HEIGHTS,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-26T13:30:00.000Z,2023-06-26T13:30:00.000Z,DK 7 veh.'s [cmx],DK 7 veh.'s [cmx],,432.4,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C3CDZEG5CN260529,2012,DODGE,Avenger,SXT Plus,Sedan/Saloon,3.6,FWD/Front-Wheel Drive,STERLING HEIGHTS,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-09T16:00:00.000Z,2023-06-09T16:00:00.000Z,DK 4 veh.'s [cmx],DK 4 veh.'s [cmx],,356.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4BJWEG3FL718115,2015,JEEP,Wrangler,Sahara,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),3.6,4WD/4-Wheel Drive/4x4,TOLEDO,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-09-08T13:30:00.000Z,2023-09-08T13:30:00.000Z,DK 5 veh.'s [cmx],DK 5 veh.'s [cmx],IM608,197.8,,needs locksmith verification,,IM608,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4NJDEB8GD618321,2016,JEEP,Compass,Latitude,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2.4,4WD/4-Wheel Drive/4x4,BELVIDERE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-05T13:15:00.000Z,2023-06-05T13:15:00.000Z,DK 3 veh.'s [cmx],DK 3 veh.'s [cmx],,179.4,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4PJLCB3HW593291,2017,JEEP,Cherokee,"Latitude, Longitude, North",Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2.4L In-Line,4x2,TOLEDO,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-09T16:00:00.000Z,2023-06-09T16:00:00.000Z,DK 4 veh.'s [cmx],DK 4 veh.'s [cmx],,356.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4PJMBX5MD184640,2021,JEEP,Cherokee,Trailhawk,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),3.2L V-Shaped,4WD/4-Wheel Drive/4x4,BELVIDERE,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2024-07-03T15:45:00.000Z,2024-07-03T15:45:00.000Z,KM 21 Cherokee blu [er],KM 21 Cherokee blu [er],,218.75,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4PJMCB5HW626037,2017,JEEP,Cherokee,"Latitude, Longitude, North",Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2.4L In-Line,4WD/4-Wheel Drive/4x4,TOLEDO,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-28T14:30:00.000Z,2023-06-28T14:30:00.000Z,DK 17 Cherokee gry [cmx],DK 17 Cherokee gry [cmx],,199.8,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4RDJDG4PC603325,2023,DODGE,Durango,GT,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),3.6L V-Shaped,AWD/All-Wheel Drive,DETROIT,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2024-05-29T16:30:00.000Z,2024-05-29T16:30:00.000Z,KM 2 veh.'s [er],KM 2 veh.'s [er],,411.75,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4RJFAG6KC809751,2019,JEEP,Grand Cherokee,Laredo,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),3.6L V-Shaped,4WD/4-Wheel Drive/4x4,DETROIT,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-28T12:50:00.000Z,2023-07-28T12:50:00.000Z,DK 8 veh.'s [cmx],DK 8 veh.'s [cmx],,349.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4RJFBT2EC122699,2014,JEEP,Grand Cherokee,Limited,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),5.7,4WD/4-Wheel Drive/4x4,DETROIT,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2026-04-08T16:30:00.000Z,2026-04-08T16:30:00.000Z,CxD KM 14 Grand Cherokee [aaa],CxD KM 14 Grand Cherokee [aaa],,276.47,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4RJYB69RC120699,2024,JEEP,Grand Cherokee,Limited 4XE,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),2L In-Line,4WD/4-Wheel Drive/4x4,DETROIT,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,2,2024-07-15T17:05:00.000Z,2024-07-16T15:55:00.000Z,uts KM 24 Gr Cherokee wht [er],KM 24 Gr Cherokee wht [er],,503.29,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C4SJSBP6PS568683,2023,JEEP,Wagoneer,Series II,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),3L In-Line,4WD/4-Wheel Drive/4x4,WARREN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2024-03-25T14:50:00.000Z,2024-03-25T14:50:00.000Z,D-1 info,D-1 info,,524.29,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C6RR6TT7KS653932,2019,RAM,1500,SLT,Pickup,5.7L V-Shaped,4x2,WARREN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-28T12:50:00.000Z,2023-07-28T12:50:00.000Z,DK 8 veh.'s [cmx],DK 8 veh.'s [cmx],,349.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C6RR7GG7MS538818,2021,RAM,1500,SLT,Pickup,3.6L V-Shaped,4WD/4-Wheel Drive/4x4,WARREN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-26T13:30:00.000Z,2023-06-26T13:30:00.000Z,DK 7 veh.'s [cmx],DK 7 veh.'s [cmx],,432.4,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C6RR7KT2ES166732,2014,RAM,1500,ST,Pickup,5.7,4WD/4-Wheel Drive/4x4,WARREN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-06-07T18:00:00.000Z,2023-06-07T18:00:00.000Z,DK 3 veh.'s [cmx],DK 3 veh.'s [cmx],,280.6,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C6RR7LG0HS858753,2017,RAM,1500,SLT,Pickup,3.6L V-Shaped,4WD/4-Wheel Drive/4x4,WARREN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-17T13:30:00.000Z,2023-07-17T13:30:00.000Z,DK 10 veh.'s [cmx],DK 10 veh.'s [cmx],,308.2,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
1C6RR7LG3FS726096,2015,RAM,1500,SLT,Pickup,3.6,4WD/4-Wheel Drive/4x4,WARREN,UNITED STATES (USA),0,0 - VIN decoded clean. Check Digit (9th position) is correct,1,2023-07-03T13:15:00.000Z,2023-07-03T13:15:00.000Z,DK 4 veh.'s [cmx],DK 4 veh.'s [cmx],,105.8,,needs locksmith verification,,,,FCC/frequency; blade/keyway; programmer coverage; supplier part number; authorization,Decoded from VIN. Locksmith key data must be verified before use.
